Gene,Entrez Id,CFGa,CNVb,Differential Expressionc,GWASd,Linkage & Associatione,Sherlockf,Pascalg,Scoreh
EIF4E3,317649,no,no,yes,no,no,no,no,1
NOP14-AS1,317648,no,no,yes,no,no,no,no,1
NR4A1,3164,no,no,yes,no,no,no,no,1
HMGN1,3150,no,no,yes,no,no,no,no,1
HLA-F,3134,no,no,yes,no,no,no,no,1
HLA-DRB9,3132,no,no,no,yes,no,no,no,1
HLF,3131,no,no,yes,no,no,no,no,1
HLA-DRB3,3125,no,no,yes,no,no,no,no,1
HLA-DQA1,3117,no,no,yes,no,no,no,no,1
HLA-C,3107,no,no,yes,no,no,no,no,1
HK2,3099,no,no,yes,no,no,no,no,1
HIVEP2,3097,no,no,yes,no,no,no,no,1
STOML2,30968,no,no,yes,no,no,no,no,1
TAX1BP3,30851,no,no,yes,no,no,no,no,1
PIK3R4,30849,no,no,yes,no,no,no,no,1
KCNIP1,30820,no,no,yes,no,no,no,no,1
VSX1,30813,no,no,yes,no,no,no,no,1
HFE,3077,no,no,no,no,no,no,yes,1
HBE1,3046,no,no,yes,no,no,no,no,1
HBB,3043,no,no,yes,no,no,no,no,1
HBA1,3039,no,no,yes,no,no,no,no,1
HARS,3035,no,no,no,yes,no,no,no,1
HAL,3034,no,no,yes,no,no,no,no,1
HADHA,3030,no,no,yes,no,no,no,no,1
HIST1H1A,3024,no,no,no,no,no,no,yes,1
ANXA2,302,no,no,yes,no,no,no,no,1
HIST1H2BB,3018,no,no,no,no,no,no,yes,1
HIST1H2BD,3017,no,no,no,no,no,no,yes,1
HIST1H1T,3010,no,no,no,no,no,no,yes,1
HIST1H1B,3009,no,no,no,no,no,no,yes,1
HIST1H1E,3008,no,no,no,no,no,no,yes,1
HIST1H1C,3006,no,no,no,no,no,no,yes,1
GZMA,3001,no,no,yes,no,no,no,no,1
DONSON,29980,no,no,yes,no,no,no,no,1
MDFIC,29969,no,no,yes,no,no,no,no,1
SERTAD1,29950,no,no,yes,no,no,no,no,1
PADI1,29943,no,no,yes,no,no,no,no,1
HILPDA,29923,no,no,yes,no,no,no,no,1
